"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
-0.2676,-0.38748,-0.34027,-0.35574,-0.60058,-0.49134,-0.21693,-0.38802,-0.14822,-0.43935,-0.52889,-0.51071,-0.55077,-0.60074,-0.19856
-0.01936,-0.13089,-0.12768,-0.14762,-0.01404,-0.15461,0.02058,-0.11941,-0.15899,-0.25494,-0.43353,-0.3647,-0.25988,0.00769,0.03522
-0.00599,-0.00795,-0.1334,-0.21075,-0.05185,-0.04919,-0.14311,-0.08788,-0.42256,-0.37453,-0.35654,-0.38247,-0.36832,-0.10287,0.06856
0.25113,0.43201,0.28246,0.21027,0.10491,-0.08362,-0.17051,-0.25178,-0.12986,-0.19609,-0.20371,-0.44503,-0.71711,-0.90621,-0.66669
-0.40539,-0.20875,-0.20093,-0.1048,0.1502,0.17324,0.13602,-0.07632,-0.323,-0.41732,-0.43337,-0.36917,-0.38973,-0.33392,-0.14117
-0.25129,-0.0433,0.00381,0.14065,0.0567,0.1747,0.16607,0.20769,0.3737,0.09477,0.06839,-0.13843,-0.15967,-0.19934,0.05718
-0.44655,-0.3903,-0.40594,-0.0727,-0.39719,-0.58581,-0.29865,-0.79903,-0.65234,-0.4378,-0.19734,-0.2222,-0.09512,-0.05663,-0.13101
0.11735,-0.12845,-0.05906,-0.15791,-0.16604,-0.02927,0.28947,0.25028,0.09986,0.313,0.29851,0.10104,0.15407,0.38464,0.06344
-0.12278,-0.00549,0.26905,0.37729,0.21737,-0.03511,-0.26236,-0.28331,-0.26683,-0.03237,-0.14456,0.14674,0.24133,0.18053,0.05811
-0.4776,-0.43428,-0.38419,-0.56997,-0.47485,-0.47702,-0.49521,-0.45,-0.65288,-0.76252,-0.51321,-0.40266,-0.04917,-0.26188,-0.45397
-0.21451,-0.1422,0.0644,-0.14114,-0.26484,-0.11924,-0.00852,0.18324,0.19565,-0.06036,-0.01988,-0.16495,-0.27136,-0.09489,-0.06716
-0.26877,-0.09415,-0.12204,-0.1264,0.00253,-0.07185,-0.0819,-0.22535,-0.19503,-0.09584,-0.35629,-0.44156,-0.57321,-0.59688,-0.5064
0.0588,0.13162,0.03336,0.11125,0.20634,0.07984,-0.1487,-0.10216,-0.26176,-0.27265,-0.59149,-0.4767,-0.22616,-0.25179,-0.49742
0.14064,-0.19573,-0.3969,-0.29722,-0.23648,-0.18121,-0.03124,0.14005,0.13137,0.14188,0.19712,0.42721,0.46691,0.46988,0.15858
